Glyph Name, Unicode, Character, Description, Glyph Set, Optional,Exclude
guilsinglleft,8249,‹,SINGLE LEFT-POINTING ANGLE QUOTATION MARK,GF-latin-core,FALSE,FALSE
guilsinglright,8250,›,SINGLE RIGHT-POINTING ANGLE QUOTATION MARK,GF-latin-core,FALSE,FALSE
guillemetleft,171,«,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,GF-latin-core,FALSE,FALSE
guillemetright,187,»,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,GF-latin-core,FALSE,FALSE
parenleft,40,(,LEFT PARENTHESIS,GF-latin-core,FALSE,FALSE
parenright,41,),RIGHT PARENTHESIS,GF-latin-core,FALSE,FALSE
bracketleft,91,[,LEFT SQUARE BRACKET,GF-latin-core,FALSE,FALSE
bracketright,93,],RIGHT SQUARE BRACKET,GF-latin-core,FALSE,FALSE
braceleft,123,{,LEFT CURLY BRACKET,GF-latin-core,FALSE,FALSE
braceright,125,},RIGHT CURLY BRACKET,GF-latin-core,FALSE,FALSE
slash,47,/,SOLIDUS,GF-latin-core,FALSE,FALSE
bar,124,|,VERTICAL LINE,GF-latin-core,FALSE,FALSE
brokenbar,166,¦,BROKEN BAR,GF-latin-core,FALSE,FALSE
backslash,92,\,REVERSE SOLIDUS,GF-latin-core,FALSE,FALSE
fraction,8260,⁄,FRACTION SLASH,GF-latin-core,FALSE,FALSE
bullet,8226,•,BULLET,GF-latin-core,FALSE,FALSE
hyphen,45,-,HYPHEN-MINUS,GF-latin-core,FALSE,FALSE
hyphensoft,173,­,SOFT HYPHEN,GF-latin-core,FALSE,FALSE
endash,8211,–,EN DASH,GF-latin-core,FALSE,FALSE
emdash,8212,—,EM DASH,GF-latin-core,FALSE,FALSE
underscore,95,_,LOW LINE,GF-latin-core,FALSE,FALSE
dollar,36,$,DOLLAR SIGN,GF-latin-core,FALSE,FALSE
cent,162,¢,CENT SIGN,GF-latin-core,FALSE,FALSE
sterling,163,£,POUND SIGN,GF-latin-core,FALSE,FALSE
yen,165,¥,YEN SIGN,GF-latin-core,FALSE,FALSE
Euro,8364,€,EURO SIGN,GF-latin-core,FALSE,FALSE
colonmonetary,8353,₡,COLON SIGN,GF-latin-plus,FALSE,FALSE
franc,8355,₣,FRENCH FRANC SIGN,GF-latin-plus,FALSE,FALSE
lira,8356,₤,LIRA SIGN,GF-latin-plus,FALSE,FALSE
naira,8358,₦,NAIRA SIGN,GF-latin-plus,FALSE,FALSE
peseta,8359,₧,PESETA SIGN,GF-latin-plus,FALSE,FALSE
won,8361,₩,WON SIGN,GF-latin-plus,FALSE,FALSE
dong,8363,₫,DONG SIGN,GF-latin-plus,FALSE,FALSE
kip,8365,₭,KIP SIGN,GF-latin-plus,FALSE,FALSE
peso,8369,₱,PESO SIGN,GF-latin-plus,FALSE,FALSE
guarani,8370,₲,GUARANI SIGN,GF-latin-plus,FALSE,FALSE
cedi,8373,₵,CEDI SIGN,GF-latin-plus,FALSE,FALSE
indianrupee,8377,₹,INDIAN RUPEE SIGN,GF-latin-plus,FALSE,FALSE
turkishlira,8378,₺,TURKISH LIRA SIGN,GF-latin-plus,FALSE,FALSE
manat,8380,₼,MANAT SIGN,GF-latin-plus,FALSE,FALSE
ruble,8381,₽,RUBLE SIGN,GF-latin-plus,FALSE,FALSE
numero,8470,№,NUMERO SIGN,GF-latin-plus,FALSE,FALSE
currency,164,¤,CURRENCY SIGN,GF-latin-core,FALSE,FALSE
plus,43,+,PLUS SIGN,GF-latin-core,FALSE,FALSE
minus,8722,−,MINUS SIGN,GF-latin-core,FALSE,FALSE
multiply,215,×,MULTIPLICATION SIGN,GF-latin-core,FALSE,FALSE
bulletoperator,8729,∙,BULLET OPERATOR,GF-latin-plus,FALSE,FALSE
divide,247,÷,DIVISION SIGN,GF-latin-core,FALSE,FALSE
